ident,name,type,latitude_d,longitude_,elevation_,municipali,LLG_Pcode,LLG_Name,Dis_Pcode,District_Name,Prov_Pcode,Prov_name
DAF,Daup Airport,small_airport,-4.7403,145.9515,280,,PG130513,Karkar Rural LLG,PG1305,Sumkar District,PG13,Madang Province
DBP,Debepare Airport,small_airport,-6.308611111,141.9055556,360,Debepare,PG010105,Nomad Rural LLG,PG0101,Middle Fly District,PG01,Western Province
DER,Derim Airport,small_airport,-6.144722222,147.1072222,4850,Derim,PG120412,Deyamos Rural LLG,PG1204,Kabwum District,PG12,Morobe Province
AYDW,Dewara Airstrip,small_airport,-8.3802,142.4475,25,Dewara,PG010313,Morehead Rural LLG,PG0103,South Fly District,PG01,Western Province
AYDQ,Dimisisi Airstrip,small_airport,-8.6298,142.2162,166,Dimisisi,PG010313,Morehead Rural LLG,PG0103,South Fly District,PG01,Western Province
AYDN,Dinangat Airport,small_airport,-6.1546,146.6772,5309,Dinangat,PG120414,Yus Rural LLG,PG1204,Kabwum District,PG12,Morobe Province
DOS,Dios Airport,closed,-5.5609,154.9616,335,Dios,PG200101,Tinputz LLG,PG2001,North Bougainville District,PG20,Autonomous Region of Bougainville
AYDD,Dobu Airstrip,small_airport,-6.6305,144.6383,3115,Dobu,PG100307,Karimui Rural LLG,PG1003,Karimui/Nomane District,PG10,Chimbu (Simbu) Province
DDM,Dodoima Airport,small_airport,-8.177361111,147.8094444,75,,PG060207,Tamata Rural LLG,PG0602,Sohe District,PG06,Northern (Oro) Province
PG-0064,Dodomona Airstrip,small_airport,-6.2437,142.6158,1910,Dodomona,PG010105,Nomad Rural LLG,PG0101,Middle Fly District,PG01,Western Province
AYDO,Doini Airport,small_airport,-10.7009,150.7218,31,Castori Islets,PG050208,Bwanabwana Rural LLG,PG0502,Samarai-Murua District,PG05,Milne Bay Province
PG-0075,Dona Airstrip,closed,-7.8465,147.6518,65,Dona,PG120309,Morobe Rural LLG,PG1203,Huon District,PG12,Morobe Province
DOO,Dorobisoro Airport,small_airport,-9.461855,147.920907,1767,Dorobisoro,PG030413,Rigo Inland Rural LLG,PG0304,Rigo District,PG03,Central Province
DPU,Dumpu Airport,closed,-5.858,145.705,870,Dumpu,PG130616,Usino Rural LLG,PG1306,Usino Bundi District,PG13,Madang Province
PG-0044,Duranmin Airstrip,small_airport,-4.973205,141.908161,3890,Duranmin,PG150310,Telefomin Rural LLG,PG1503,Telefomin District,PG15,West Sepik (Sandaun) Province
AYDS,Dusin Airport,small_airport,-5.184135,144.411965,6300,Dusin,PG130317,Kovon LLG,PG1303,Middle Ramu District,PG13,Madang Province
AYED,Edwaki Airport,small_airport,-3.883986,141.792234,190,Yellow River Mission,PG150308,Namea Rural LLG,PG1503,Telefomin District,PG15,West Sepik (Sandaun) Province
EFG,Efogi Airport,small_airport,-9.153805556,147.6598056,3900,Efogi,PG030309,Koiari Rural LLG,PG0303,Kairuku - Hiri District,PG03,Central Province
AYEM,Eleme Airstrip,small_airport,-4.8141,143.9103,233,Eleme,PG140209,Yuat Rural LLG,PG1402,Angoram District,PG14,East Sepik Province
AYEL,Eliptamin Airport,small_airport,-5.0412,141.6779,4825,Eliptamin,PG150310,Telefomin Rural LLG,PG1503,Telefomin District,PG15,West Sepik (Sandaun) Province
AYEU,Eloaua Airstrip,small_airport,-1.5601,149.6318,25,Eloaua Island,PG170101,Murat Rural LLG,PG1701,Kavieng District,PG17,New Ireland Province
AYEB,Embessa Airport,small_airport,-9.447,148.7628,131,Embessa,PG060109,Safia Rural LLG,PG0601,Ijivitari District,PG06,Northern (Oro) Province
PG-0006,Emirau Airport,small_airport,-1.653949991,149.9757667,172,Emirau Island,PG170101,Murat Rural LLG,PG1701,Kavieng District,PG17,New Ireland Province
AYEO,Emo River Airstrip,small_airport,-9.1234,148.0415,2240,Emo Mission,PG060205,Kokoda Rural LLG,PG0602,Sohe District,PG06,Northern (Oro) Province
AYEN,Engati Airstrip,small_airport,-6.9179,146.1053,3715,Engati,PG120721,Kome Rural LLG,PG1207,Menyamya District,PG12,Morobe Province
PG-0007,Erave Airport,small_airport,-6.606463154,143.9002132,3650,Erave,PG070308,Erave Rural LLG,PG0703,Kagua/Erave District,PG07,Southern Highlands Province
AYER,Erume Airport,small_airport,-8.2538,146.9747,6690,Erume,PG030205,Tapini Rural LLG,PG0302,Goilala District,PG03,Central Province
PG-0008,Esa'ala Airport,small_airport,-9.874327023,150.9542084,10,Esa'ala,PG050415,Dobu Rural LLG,PG0504,Esa'ala District,PG05,Milne Bay Province
FNE,Fane Airport,small_airport,-8.549277778,147.0858333,4500,Fane Mission,PG030206,Woitape Rural LLG,PG0302,Goilala District,PG03,Central Province
