ident,name,type,latitude_d,longitude_,elevation_,LLG_Name,District_Name,Prov_name,Surveyed,strip_type,takeoff_direction,season,width,length,slope,co_ords,elevation_pb,elevation_th,spl_hz,spl_side,spl2_hz,spl2_side,side_slp,clw_1,clw_2,clw_3,clw2_1,clw2_2,clw2_3,dist_obst,dist2_obst,dsc,dsc2,surf_cvr,soil_typ,soil_moist,surf_hdn,surf_rgh,surf_und,surf_com,wind_pr,wind_set,wind_cond,cone_1,cone_2,cone_no,cone_wt,cone_yl,oth_com
PG-0082,Muschu Airstrip,closed,-3.4097,143.58,242,Wewak Islands Rural LLG,Wewak District,East Sepik Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYUL,Musula Airstrip,small_airport,-6.8385,142.8983,740,Bamu Rural LLG,Middle Fly District,Western Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDN,Nadunumu Airport,small_airport,-9.143555556,147.68425,5100,Koiari Rural LLG,Kairuku - Hiri District,Central Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYNZ,Nadzab Airport,medium_airport,-6.569803,146.725977,239,Wampar Rural LLG,Huon District,Morobe Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATN,Namatanai Airport,small_airport,-3.6695,152.438,150,Namatanai Rural LLG,Namatanai District,New Ireland Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYNY,Nambaiyufa Airport,small_airport,-6.2412,145.2424,5550,Siane Rural LLG,Chuave District,Chimbu (Simbu) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDI,Namudi Airport,small_airport,-9.47375,148.3294167,1044,Safia Rural LLG,Ijivitari District,Northern (Oro) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYNA,Nankina Airport,small_airport,-5.837,146.4533,5800,Rai Coast Rural LLG,Rai Coast District,Madang Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NoO,Naoro Airport,small_airport,-9.254455,147.621352,2372,Koiari Rural LLG,Kairuku - Hiri District,Central Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYNE,Negarbo(Negabo) Airport,small_airport,-6.567778,144.703058,4500,Karimui Rural LLG,Karimui/Nomane District,Chimbu (Simbu) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPG,Nipa Airport,small_airport,-6.1454,143.4531,5765,Nipa Rural LLG,Nipa/Kutubu District,Southern Highlands Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-IIS,Nissan Island Airport,small_airport,-4.499720097,154.2259979,52,Nissan LLG,North Bougainville District,AutoNomous Region of Bougainville,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NoM,Nomad River Airport,small_airport,-6.294,142.2341667,305,Nomad Rural LLG,Middle Fly District,Western Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYNo,Nomane Airport,small_airport,-6.32183,145.070667,6032,Nomane Rural LLG,Karimui/Nomane District,Chimbu (Simbu) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYRN,Norambi Airstrip.,small_airport,-6.9125,145.6731,5100,Yelia Rural LLG,Obura/Wonenara District,Eastern Highlands Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0035,Nowata Airport,small_airport,-9.984166667,149.7291667,2040,Weraura Rural LLG,Alotau District,Milne Bay Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Nowata Airport,small_airport,-9.984166667,149.7291667,2040,Weraura Rural LLG,Alotau District,Milne Bay Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYWN,Nugwaia Airstrip,small_airport,-3.8183,142.835,279,North Wosera Rural LLG,Wosera Gawi District,East Sepik Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-UKU,Nuku Airport,small_airport,-3.676651,142.484334,870,Mawase Rural LLG,Nuku District,West Sepik (Sandaun) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-OBX,Obo Airport,small_airport,-7.590622421,141.3242626,29,Lake Murray Rural LLG,Middle Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYOD,Obura Airstrip,small_airport,-6.5507,145.9728,5600,Lamari Rural LLG,Obura/Wonenara District,Eastern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGE,Ogeranang Airport,small_airport,-6.46675,147.3641667,5850,Burum Kwat LLG,Finschafen District,Morobe Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKV,Okao Airport,small_airport,-5.556666667,141.0327778,450,Ningerum Rural LLG,North Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYOH,Okisai Airstrip,small_airport,-4.7065,141.9006,310,Telefomin Rural LLG,Telefomin District,West Sepik (Sandaun) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYOJ,Oksapmin Airport,small_airport,-5.2261,142.2259,5140,Oksapmin Rural LLG,Telefomin District,West Sepik (Sandaun) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLQ,Olsobip Airport,small_airport,-5.389722222,141.5152778,1500,Olsobip Rural LLG,North Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYUO,Omaura Airstrip,small_airport,-6.3679,145.9902,4860,KamaNo No. 2 Rural LLG,Kainanatu District,Eastern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
